,   match_id,Winning.Team.ID,player_id_of_the_match,player_me_of_the_match,  series_id, toss_winner,   venue_id, home_team_id, Concat_ID.x,     id.x, Team1_score,Team1_stats.all_outs,Team1_stats.declare,Team1_stats.points.all_out,Team1_stats.points.declare,Team1_stats.points.extras,Team1_stats.points.raid_points.raid_bonus,Team1_stats.points.raid_points.total,Team1_stats.points.raid_points.touch,Team1_stats.points.tackle_points.capture,Team1_stats.points.tackle_points.capture_bonus,Team1_stats.points.tackle_points.total,Team1_stats.points.total,Team1_stats.raids.Empty,Team1_stats.raids.successful,Team1_stats.raids.super_raids,Team1_stats.raids.total,Team1_stats.raids.unsuccessful,Team1_stats.tackles.successful,Team1_stats.tackles.super_tackles,Team1_stats.tackles.total,Team1_stats.tackles.unsuccessful,Team1_Red_Cards,Team1_Yellow_Cards,Team1_Green_cards, Concat_ID.y,     id.y, Team2_score,Team2_stats.all_outs,Team2_stats.declare,Team2_stats.points.all_out,Team2_stats.points.declare,Team2_stats.points.extras,Team2_stats.points.raid_points.raid_bonus,Team2_stats.points.raid_points.total,Team2_stats.points.raid_points.touch,Team2_stats.points.tackle_points.capture,Team2_stats.points.tackle_points.capture_bonus,Team2_stats.points.tackle_points.total,Team2_stats.points.total,Team2_stats.raids.Empty,Team2_stats.raids.successful,Team2_stats.raids.super_raids,Team2_stats.raids.total,Team2_stats.raids.unsuccessful,Team2_stats.tackles.successful,Team2_stats.tackles.super_tackles,Team2_stats.tackles.total,Team2_stats.tackles.unsuccessful,Team2_Red_Cards,Team2_Yellow_Cards,Team2_Green_cards
Minimum,1,1,12,12,1,1,1,0,13,1,15,0,0,0,0,0,0,5,3,1,0,1,15,3,4,0,35,2,1,0,11,4,0,0,0,15,1,15,0,0,0,0,0,0,7,4,2,0,2,15,3,6,0,36,1,2,0,12,3,0,0,0
Q1,149.5,3,81,81,3,3,4,3,1502,3,27,0,0,0,0,1,2,14,11,7,0,7,27,15,11,0,41,7,7,0,20,11,0,0,0,1498,3,26,0,0,0,0,1,2,14,11,7,0,7,26,15,11,0,41,7,7,0,20,11,0,0,0
Median,345,5,143,143,8,6,6,6,3723,5,31,1,0,2,0,1,4,18,14,9,0,9,31,19,14,0,43,10,9,1,23,14,0,0,0,3806,6,31,1,0,2,0,1,3,18,14,9,0,10,31,19,14,0,43,9,9,0,23,14,0,0,0
Mean,535.9,9.366,340.6,340.6,15.78,9.234,7.297,9.906,17849,8.506,31.59,1.14,0,2.287,0,1.665,3.91,17.98,14.07,8.827,0.8398,9.665,31.59,18.54,14.46,0.462,42.69,9.665,8.764,0.9149,22.98,14.21,0.001842,0.007366,0.3628,21182,10.08,31.76,1.227,0,2.431,0,1.641,3.783,18,14.21,8.969,0.7256,9.694,31.76,18.64,14.43,0.4863,42.64,9.552,8.869,0.8419,22.94,14.07,0.003683,0.01842,0.3297
Q3,696.5,8,320,320,26,8,9,8,16962,8,36,2,0,4,0,3,5.5,22,17,11,1,12,36,22,17,1,44,12,11,1,26,17,0,0,1,17398,8,36,2,0,4,0,3,5,22,17,11,1,12,36,22,17,1,44,11.5,11,1,26,17,0,0,1
Maximum,1771,31,2661,2661,49,31,25,31,176729,31,69,6,0,10,0,7,15,44,39,19,7,20,69,30,31,3,52,21,19,7,40,34,1,1,4,176631,31,67,8,0,10,0,6,14,36,34,20,6,20,67,33,29,3,53,19,20,6,42,39,1,1,3
NA,,,32,32,,,,329,,,,,,,,,,,,,,,,,,214,,,,214,,,,,,,,,,,,,,,,,,,,,,,214,,,,214,,,,,
Range,1770,30,2649,2649,48,30,24,31,176716,30,54,6,0,10,0,7,15,39,36,18,7,19,54,27,27,3,17,19,18,7,29,30,1,1,4,176616,30,52,8,0,10,0,6,14,29,30,18,6,18,52,30,23,3,17,18,18,6,30,36,1,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treatment,,,,,,,,99999,,,,,,,,,,,,,,,,,,99999,,,,99999,,,,,,,,,,,,,,,,,,,,,,,99999,,,,99999,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.394106814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
